 pedido;fecha_pedido;fecha;financial_status;total;subtotal;shipping;taxes;discount_code;discount_amount;sku;producto;cantidad;precio_unitario;ImportadoIA;descuento_item;categoria_producto;canal;ciudad;departamento;payment_method;risk_level
1008;2023-10-17 16:15:35-05:00;2023-10-17;paid;280.000,00;280.000,00;0,00;0,00;#TOUR&BIKE;70.000,00;99999;ENTERIZO HILL - M / Green / M;1;350.000,00;NO;0.0;Enterizo;web;Bogotá;Bogotá D.C.;ePayco;Low
1010;2023-10-17 22:18:06-05:00;2023-10-17;paid;350.000,00;350.000,00;0,00;0,00;ELEVENPRO10;0,00;99999;ENTERIZO HILL - M / Black / M;1;350.000,00;NO;0.0;Enterizo;web;Armenia;Quindío;ePayco;Low
1011;2023-10-19 12:35:23-05:00;2023-10-19;paid;305.910,00;305.910,00;0,00;0,00;ELEVENPRO10;33.990,00;1230;Pantaloneta Ultra - Black / XL / L;1;339.900,00;NO;0.0;Pantalonetas;web;Armenia;Quindío;Addi Payment;Low
1012;2023-10-21 22:50:42-05:00;2023-10-21;paid;242.910,00;242.910,00;0,00;0,00;ELEVENPRO10;26.990,00;1225;Pantaloneta Estelar - Green / L / L;1;269.900,00;NO;0.0;Pantalonetas;web;Acacias;Meta;ePayco;Low
1013;2023-10-26 17:18:59-05:00;2023-10-26;paid;118.881,00;99.900,00;0,00;18.981,00;#RETOSMTBCOLOMBIA;0,00;80300;Vuelta EspaÃ±a Hombre - M / CORTA / White;1;99.900,00;NO;0.0;Jerseys;web;Rionegro;Antioquia;Addi Payment;Low
1014;2023-10-28 12:43:00-05:00;2023-10-28;paid;543.481,00;499.800,00;0,00;43.681,00;#RETOSMTBCOLOMBIA;0,00;3406;Pantaloneta Estelar - White / S / S;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1014;2023-10-28 12:43:00-05:00;2023-10-28;paid;543.481,00;499.800,00;0,00;43.681,00;#RETOSMTBCOLOMBIA;0,00;14312;Camiseta slim - Brown / S / S;1;229.900,00;NO;0.0;Camisetas;web;Florencia;Caquetá;ePayco;Low
1015;2023-10-29 12:02:25-05:00;2023-10-29;paid;229.900,00;229.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;80303;Camiseta Pro - M / White / M;1;229.900,00;NO;0.0;Camisetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1017;2023-11-06 10:21:04-05:00;2023-11-06;paid;199.900,00;199.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;82323;Camiseta Back To The Montain - L / Navy / L;1;199.900,00;NO;0.0;Camisetas;web;Cartago Valle;Valle Del Cauca;ePayco;Low
1018;2023-11-08 20:34:47-05:00;2023-11-08;paid;280.000,00;280.000,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;26975;Enterizo Ciclismo Dama - Black / M;1;280.000,00;NO;0.0;Enterizo;web;Mariquita;Tolima;Addi Payment;Low
1019;2023-11-09 11:53:19-05:00;2023-11-09;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;1245;Pantaloneta BTM Ultra Race - Black / L / L;1;339.900,00;NO;0.0;Pantalonetas;web;Barrancabermeja;Santander;Addi Payment;Low
1020;2023-11-14 11:09:45-05:00;2023-11-14;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;3430;Pantaloneta Ultra - Black / XL / L;1;339.900,00;NO;0.0;Pantalonetas;web;Bogotá;Cundinamarca;Addi Payment;Low
1021;2023-11-14 22:05:51-05:00;2023-11-14;paid;183.900,00;183.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;14007;Camiseta de Ciclismo - Black / S;1;183.900,00;NO;0.0;Jerseys;web;Chiquinquirá;Boyacá;ePayco;Low
1023;2023-11-15 08:32:22-05:00;2023-11-15;paid;280.000,00;280.000,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;26935;Enterizo Ciclismo Dama - Purple / L;1;280.000,00;NO;0.0;Enterizo;web;Pereira;Risaralda;Addi Payment;Low
1025;2023-11-16 17:19:48-05:00;2023-11-16;paid;199.800,00;199.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;82336;T Shirt Over Size - XL / Black / M;1;99.900,00;NO;0.0;Camisetas;web;Sin información;Sin información;Addi Payment;Low
1025;2023-11-16 17:19:48-05:00;2023-11-16;paid;199.800,00;199.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;80299;Vuelta EspaÃ±a Hombre - M / CORTA / Red;1;99.900,00;NO;0.0;Jerseys;web;Cartago;Valle Del Cauca;Addi Payment;Low
1026;2023-11-20 10:02:19-05:00;2023-11-20;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;1217;Pantaloneta Estelar Opa Hombre - M / Grey;1;269.900,00;NO;0.0;Pantalonetas;web;Ibague;Tolima;Addi Payment;Low
1027;2023-11-20 11:01:11-05:00;2023-11-20;paid;374.000,00;374.000,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;26286;ENTERIZO HILL - M / Black / M;1;350.000,00;NO;0.0;Enterizo;web;Sin información;Sin información;ePayco;Low
1027;2023-11-20 11:01:11-05:00;2023-11-20;paid;374.000,00;374.000,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;81505727;Calcetines Tejidos - M / Black;1;24.000,00;SI;0.0;Calcetines;web;Bogotá;Bogotá D.C.;ePayco;Low
1028;2023-11-22 18:46:39-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;239.900,00;90302;Camiseta Pro - L / L / Green;1;239.900,00;NO;239900.0;Camisetas;web;Boavita;Boyacá;Addi Payment;Low
1028;2023-11-22 18:46:39-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;239.900,00;1225;Pantaloneta Estelar - Green / L / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1029;2023-11-22 20:23:10-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;80313;Camiseta Pro - Yellow / S / S;1;229.900,00;NO;229900.0;Camisetas;web;Barranquilla;Atlántico;ePayco;Low
1029;2023-11-22 20:23:10-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;1216;Pantaloneta Estelar Opa Hombre - S / Grey;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1030;2023-11-22 20:23:55-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;1239;Pantaloneta Estelar con fajÃ³n negra - Black / L / L;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1030;2023-11-22 20:23:55-05:00;2023-11-22;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;84329;Camiseta Pro - Blue / L / L;1;229.900,00;SI;229900.0;Camisetas;web;Armenia;Quindío;Addi Payment;Low
1031;2023-11-23 13:47:10-05:00;2023-11-23;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;80313;Camiseta Pro - Yellow / L / L;1;229.900,00;NO;229900.0;Camisetas;web;Sin información;Antioquia;ePayco;Low
1031;2023-11-23 13:47:10-05:00;2023-11-23;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;1230;Pantaloneta Ultra - Black / L / L;1;339.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1032;2023-11-23 14:58:14-05:00;2023-11-23;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;80313;Camiseta Pro - Yellow / S / M;1;229.900,00;NO;229900.0;Camisetas;web;Barrancabermeja;Santander;ePayco;Low
1032;2023-11-23 14:58:14-05:00;2023-11-23;paid;339.900,00;339.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;1230;Pantaloneta Ultra - Black / S / S;1;339.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1034;2023-11-23 18:34:45-05:00;2023-11-23;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;80268;CAMISETA HILL NIGHT OWL - S / S;1;229.900,00;NO;229900.0;Camisetas;web;El Rosal;Cundinamarca;Addi Payment;Low
1034;2023-11-23 18:34:45-05:00;2023-11-23;paid;269.900,00;269.900,00;0,00;0,00;#RETOSMTBCOLOMBIA;229.900,00;1216;Pantaloneta Estelar Opa Hombre - S / Grey;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1035;2023-11-24 10:17:41-05:00;2023-11-24;paid;563.800,00;563.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;459.800,00;80318;Camiseta Pro - Blue / M / M;1;229.900,00;NO;229900.0;Camisetas;web;Sin información;Sin información;ePayco;Low
1035;2023-11-24 10:17:41-05:00;2023-11-24;paid;563.800,00;563.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;459.800,00;80317;Camiseta ciclismo MLC - M / Yellow / M;1;229.900,00;NO;229900.0;Jerseys;web;Sin información;Sin información;ePayco;Low
1035;2023-11-24 10:17:41-05:00;2023-11-24;paid;563.800,00;563.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;459.800,00;1239;Pantaloneta Estelar - Black / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1035;2023-11-24 10:17:41-05:00;2023-11-24;paid;563.800,00;563.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;459.800,00;1207;Pantaloneta Estelar BorgoÃ±a - Red / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1035;2023-11-24 10:17:41-05:00;2023-11-24;paid;563.800,00;563.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;459.800,00;81505727;Calcetines Tejidos - S / Red wine;1;24.000,00;SI;0.0;Calcetines;web;La Jagua De Ibirico;Cesar;ePayco;Low
1036;2023-11-24 13:33:10-05:00;2023-11-24;paid;459.800,00;459.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;80314;Camiseta Pro - Green / L / M;1;229.900,00;NO;0.0;Camisetas;web;Bogotá;Bogotá D.C.;Addi Payment + ePayco;Low
1036;2023-11-24 13:33:10-05:00;2023-11-24;paid;459.800,00;459.800,00;0,00;0,00;#RETOSMTBCOLOMBIA;0,00;14307;Camiseta  velocity - L / Blue / L;1;229.900,00;NO;0.0;Camisetas;web;Sin información;Sin información;Addi Payment + ePayco;Low
1038;2023-11-24 23:05:45-05:00;2023-11-24;paid;271.920,00;271.920,00;0,00;0,00;#RETOSMTBCOLOMBIA;67.980,00;1231;Pantaloneta Ultra - Dark Blue / L / L;1;339.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1039;2023-11-24 23:08:50-05:00;2023-11-24;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;1239;Pantaloneta Estelar con fajÃ³n negra - Black / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1039;2023-11-24 23:08:50-05:00;2023-11-24;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;84329;Camiseta Pro - Blue / M / M;1;229.900,00;SI;229900.0;Camisetas;web;Girardot;Cundinamarca;ePayco;Low
1040;2023-11-25 08:29:40-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;3406;Pantaloneta Estelar - White / S / S;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1040;2023-11-25 08:29:40-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;14307;Camiseta  velocity - S / Blue / S;1;229.900,00;NO;229900.0;Camisetas;web;Girardot;Cundinamarca;ePayco;Low
1041;2023-11-25 11:34:37-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;80319;Camiseta Pro - Orange / S / S;1;229.900,00;NO;229900.0;Camisetas;web;Sin información;Sin información;Addi Payment + ePayco;Low
1041;2023-11-25 11:34:37-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;1240;Pantaloneta Estelar - Dark Blue / S / S;1;269.900,00;NO;0.0;Pantalonetas;web;Santa Marta;Magdalena;Addi Payment + ePayco;Low
1042;2023-11-25 20:23:59-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;90331;Camiseta Pro - XL / XL;1;229.900,00;NO;229900.0;Camisetas;web;Bucaramanga;Santander;Addi Payment;Low
1042;2023-11-25 20:23:59-05:00;2023-11-25;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;1212;Pantaloneta Estelar - White / XL / XL;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1043;2023-11-26 07:57:31-05:00;2023-11-26;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;14279;CAMISETA HILL VERTS FONCÃ‰S - M / M;1;229.900,00;NO;229900.0;Camisetas;web;Sin información;Sin información;Addi Payment + ePayco;Low
1043;2023-11-26 07:57:31-05:00;2023-11-26;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;1218;Pantaloneta Estelar Opa Hombre - L / Grey;1;269.900,00;NO;0.0;Pantalonetas;web;Santa Marta;Magdalena;Addi Payment + ePayco;Low
1044;2023-11-26 12:57:07-05:00;2023-11-26;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;239.900,00;90322;Camiseta Pro - Yellow / XL / XL;1;239.900,00;NO;239900.0;Camisetas;web;Bucaramanga;Santander;Addi Payment;Low
1044;2023-11-26 12:57:07-05:00;2023-11-26;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;239.900,00;1207;Pantaloneta Estelar BorgoÃ±a - Red / XL / XL;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1045;2023-11-26 15:08:18-05:00;2023-11-26;paid;252.000,00;252.000,00;0,00;0,00;ELEVENPRO10;28.000,00;26939;Enterizo Ciclismo Dama - Black / M;1;280.000,00;NO;0.0;Enterizo;web;Cali;Valle Del Cauca;ePayco;Low
1046;2023-11-26 17:27:26-05:00;2023-11-26;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;459.800,00;3440;Pantaloneta Estelar - Dark Blue / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1046;2023-11-26 17:27:26-05:00;2023-11-26;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;459.800,00;14309;Camiseta  velocity - Orange / M / M;1;229.900,00;NO;229900.0;Camisetas;web;Anserma;Caldas;ePayco;Low
1046;2023-11-26 17:27:26-05:00;2023-11-26;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;459.800,00;14307;Camiseta  velocity - M / Blue / M;1;229.900,00;NO;229900.0;Camisetas;web;Sin información;Sin información;ePayco;Low
1046;2023-11-26 17:27:26-05:00;2023-11-26;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;459.800,00;1240;Pantaloneta Estelar - Dark Blue / XL / L;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1047;2023-11-27 08:15:23-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;239.900,00;90302;Camiseta Pro - M / M / Green;1;239.900,00;NO;239900.0;Camisetas;web;Yopal;Casanare;Addi Payment;Low
1047;2023-11-27 08:15:23-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;239.900,00;1239;Pantaloneta Estelar con fajÃ³n negra - Black / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1048;2023-11-27 18:10:38-05:00;2023-11-27;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;469.800,00;90302;Camiseta Pro - S / S / Green;1;239.900,00;NO;239900.0;Camisetas;web;Sin información;Sin información;Addi Payment;Low
1048;2023-11-27 18:10:38-05:00;2023-11-27;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;469.800,00;1225;Pantaloneta Estelar - Green / L / L;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1048;2023-11-27 18:10:38-05:00;2023-11-27;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;469.800,00;84329;Camiseta Pro - Blue / S / S;1;229.900,00;SI;229900.0;Camisetas;web;Bogotá;Cundinamarca;Addi Payment;Low
1048;2023-11-27 18:10:38-05:00;2023-11-27;paid;539.800,00;539.800,00;0,00;0,00;ELEVENPRO10;469.800,00;3402;Pantaloneta Estelar - L / Azul petroleo / L;1;269.900,00;SI;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1049;2023-11-27 18:30:34-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;14279;CAMISETA HILL VERTS FONCÃ‰S - XL / XL;1;229.900,00;NO;229900.0;Camisetas;web;Santa Marta;Magdalena;Addi Payment;Low
1049;2023-11-27 18:30:34-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;1219;Pantaloneta Estelar Opa Hombre - XL / Grey;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment;Low
1050;2023-11-27 20:26:03-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;3425;Pantaloneta Estelar - Green / XL / XL;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;Addi Payment + ePayco;Low
1050;2023-11-27 20:26:03-05:00;2023-11-27;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;229.900,00;13303;Camiseta  slim - XL / White / XL;1;229.900,00;NO;229900.0;Camisetas;web;Bogotá;Cundinamarca;Addi Payment + ePayco;Low
1051;2023-11-29 12:01:54-05:00;2023-11-29;paid;199.800,00;199.800,00;0,00;0,00;ELEVENPRO10;0,00;80299;Vuelta EspaÃ±a Hombre - M / CORTA / Red;1;99.900,00;NO;0.0;Jerseys;web;Sin información;Sin información;Addi Payment;Low
1051;2023-11-29 12:01:54-05:00;2023-11-29;paid;199.800,00;199.800,00;0,00;0,00;ELEVENPRO10;0,00;142991;Vuelta EspaÃ±a Mujer - S / CORTA / Red;1;99.900,00;NO;0.0;Jerseys;web;Fusagasugá;Cundinamarca;Addi Payment;Low
1052;2023-11-29 21:08:43-05:00;2023-11-29;paid;499.800,00;499.800,00;0,00;0,00;ELEVENPRO10;0,00;3406;Pantaloneta Estelar - White / M / L;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1052;2023-11-29 21:08:43-05:00;2023-11-29;paid;499.800,00;499.800,00;0,00;0,00;ELEVENPRO10;0,00;14291;CAMISETA HILL COLORS - GREEN / M / L;1;229.900,00;NO;0.0;Camisetas;web;Ubate;Cundinamarca;ePayco;Low
1053;2023-12-10 14:24:38-05:00;2023-12-10;paid;202.425,00;202.425,00;0,00;0,00;ELEVENPRO10;67.475,00;1240;Pantaloneta Estelar - Dark Blue / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;Addi Payment;Low
1054;2023-12-10 18:34:35-05:00;2023-12-10;paid;157.425,00;157.425,00;0,00;0,00;ELEVENPRO10;52.475,00;90275;CAMISETA HILL SKY BASICA - XL / XL;1;209.900,00;NO;0.0;Camisetas;web;Ibagué;Tolima;ePayco;Low
1056;2023-12-12 14:52:10-05:00;2023-12-12;paid;404.850,00;404.850,00;0,00;0,00;ELEVENPRO10;134.950,00;1225;Pantaloneta Estelar - Green / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1056;2023-12-12 14:52:10-05:00;2023-12-12;paid;404.850,00;404.850,00;0,00;0,00;ELEVENPRO10;134.950,00;1212;Pantaloneta Estelar - White / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1057;2023-12-13 15:12:18-05:00;2023-12-13;paid;374.850,00;374.850,00;0,00;0,00;ELEVENPRO10;124.950,00;80315;Camiseta Pro - Blue / M / M;1;229.900,00;NO;0.0;Camisetas;web;Cali;Valle Del Cauca;ePayco;Low
1057;2023-12-13 15:12:18-05:00;2023-12-13;paid;374.850,00;374.850,00;0,00;0,00;ELEVENPRO10;124.950,00;3402;Pantaloneta Estelar - M / Azul petroleo / M;1;269.900,00;SI;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1058;2023-12-15 15:17:17-05:00;2023-12-15;paid;202.425,00;202.425,00;0,00;0,00;ELEVENPRO10;67.475,00;1207;Pantaloneta Estelar BorgoÃ±a - Red / L / M;1;269.900,00;NO;0.0;Pantalonetas;web;Chía;Cundinamarca;Addi Payment;Low
1059;2023-12-15 18:16:03-05:00;2023-12-15;paid;165.510,00;165.510,00;0,00;0,00;ELEVENPRO10;18.390,00;80112;Camiseta ciclismo - M / Black;1;183.900,00;NO;0.0;Jerseys;web;La Calera;Cundinamarca;ePayco;Low
1060;2023-12-20 14:44:13-05:00;2023-12-20;paid;254.925,00;254.925,00;0,00;0,00;#RETOSMTBCOLOMBIA;84.975,00;1231;Pantaloneta Ultra - Dark Blue / M / M;1;339.900,00;NO;0.0;Pantalonetas;web;Girardot;Cundinamarca;ePayco;Low
1061;2023-12-26 11:04:48-05:00;2023-12-26;paid;374.850,00;374.850,00;0,00;0,00;#RETOSMTBCOLOMBIA;124.950,00;3425;Pantaloneta Estelar - Green / M / M;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1061;2023-12-26 11:04:48-05:00;2023-12-26;paid;374.850,00;374.850,00;0,00;0,00;#RETOSMTBCOLOMBIA;124.950,00;13303;Camiseta  slim - S / White / S;1;229.900,00;NO;0.0;Camisetas;web;La Jagua De Ibirico;Cesar;ePayco;Low
1063;2023-12-29 23:26:08-05:00;2023-12-29;paid;202.425,00;202.425,00;0,00;0,00;#RETOSMTBCOLOMBIA;67.475,00;3404;PT Tubular AZUL Dama - S / M;1;269.900,00;NO;0.0;Sin Categoria;web;Moniquirá;Boyacá;ePayco;Low
1064;2023-12-30 21:16:35-05:00;2023-12-30;paid;172.425,00;172.425,00;0,00;0,00;#RETOSMTBCOLOMBIA;57.475,00;80331;Camiseta Pro - Black / M / M;1;229.900,00;NO;0.0;Camisetas;web;Armenia;Quindío;Addi Payment + ePayco;Low
1065;2023-12-31 21:41:42-05:00;2023-12-31;paid;254.925,00;254.925,00;0,00;0,00;#RETOSMTBCOLOMBIA;84.975,00;1245;Pantaloneta BTM Ultra Race - Black / M / S;1;339.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1066;2024-01-02 20:17:46-05:00;2024-01-02;paid;271.920,00;271.920,00;0,00;0,00;#RETOSMTBCOLOMBIA;67.980,00;1245;Pantaloneta BTM Ultra Race - Black / M / M;1;339.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1067;2024-01-04 11:17:21-05:00;2024-01-04;paid;206.910,00;206.910,00;0,00;0,00;ELEVENPRO10;22.990,00;80301;Camiseta Pro - XL / Orange / XL;1;229.900,00;NO;0.0;Camisetas;web;Cali;Valle Del Cauca;ePayco;Low
1068;2024-01-07 17:00:23-05:00;2024-01-07;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;0,00;1239;Pantaloneta Estelar - Black / L / L;1;269.900,00;NO;0.0;Pantalonetas;web;Bogotá;Bogotá D.C.;ePayco;Low
1069;2024-01-09 17:43:28-05:00;2024-01-09;paid;269.900,00;269.900,00;0,00;0,00;ELEVENPRO10;230.000,00;2201;Chaqueta Cortavientos Luminance - XL / Verde Fluorescente / L;1;230.000,00;NO;230000.0;Chaquetas;web;Sin información;Sin información;Addi Payment;Low
